Sample Title,id_start_bay,id_end_bay,t_go_to_start_bay,t_couple_trolley,t_undock_trolley,t_exit_start_bay,t_go_to_end_bay,t_navigation_failures,n_navigation_failure,n_estop,n_joy_twist,n_joystick,d_navigation,t_visual_align,t_drop_trolley,t_undock_robot,sum_navigation_failures,total_go_to_start_bay,total_couple_trolley_and_exit_bay,total_go_to_end_bay,total_drop_trolley_in_bay,total_spent
Short run   0% sample,1,2,178,6988,902,7412,49453,[],0,0,0,1,27.114843932531127,7705,6704,1017,0,178,15302,49453,15426,80359
Short run  25% sample,2,1,169,8675,1004,5234,54501,[],0,0,0,1,29.61165739948719,6601,6410,1014,0,169,14913,54501,14025,83608
Short run  50% sample,2,1,303,8626,905,5015,55071,[],0,0,0,1,29.601723311265502,8100,6313,1052,0,303,14546,55071,15465,85385
Short run  75% sample,2,1,221,9375,909,5824,55025,[],0,0,0,1,29.540116921788094,11903,6209,1015,0,221,16108,55025,19127,90481
Short run 100% sample,1,2,171,6976,905,6919,81872,"[880, 831, 1142]",3,0,0,1,27.059823831753963,9902,6126,1024,2853,171,14800,84725,17052,116748
Short run model sample,0,0,202.85106382978722,8786.404255319148,937.2765957446809,6308.404255319149,55757.89361702128,[881.0],0.19148936170212766,0.0,0.0,1.5957446808510638,28.56335778660853,8948.659574468085,6420.148936170212,1078.2978723404256,168.70212765957447,202.85106382978722,16032.08510638298,55926.59574468085,16447.106382978724,88608.63829787234
Long run   0% sample,1,2,273,7447,910,6643,78741,[],0,0,0,2,44.86066558628361,7706,6306,1342,0,273,15000,78741,15354,109368
Long run  25% sample,1,2,177,6598,911,6909,78508,[],0,0,0,1,44.898212181798044,12006,6111,1036,0,177,14418,78508,19153,112256
Long run  50% sample,2,1,240,9512,1011,5700,83361,[],0,0,0,1,46.68318314363937,7203,6427,1019,0,240,16223,83361,14649,114473
Long run  75% sample,1,2,198,7000,1005,6910,81896,[],0,0,0,1,45.14041618592194,11807,7413,1188,0,198,14915,81896,20408,117417
Long run 100% sample,2,1,186,9294,1113,6115,99983,[],0,0,0,2,50.0447935107183,8607,6119,1022,0,186,16522,99983,15748,132439
Long run model sample,0,0,253.16666666666666,8185.222222222223,990.1666666666666,6236.333333333333,82899.11111111111,[0],0.0,0.0,0.0,1.5555555555555556,46.01506709472482,9423.388888888889,6468.0,1152.0555555555557,0.0,253.16666666666666,15411.722222222223,82899.11111111111,17043.444444444445,115607.44444444444
